Temp,tcorr
-170,0.994626
-169,0.994655
-168,0.994684
-167,0.994713
-166,0.994742
-165,0.994771
-164,0.9948
-163,0.994829
-162,0.994858
-161,0.994887
-160,0.994916
-159,0.994945
-158,0.994974
-157,0.995003
-156,0.995032
-155,0.995061
-154,0.99509
-153,0.995119
-152,0.995148
-151,0.995177
-150,0.995206
-149,0.995235
-148,0.995264
-147,0.995293
-146,0.995322
-145,0.995351
-144,0.99538
-143,0.995409
-142,0.995438
-141,0.995467
-140,0.995496
-139,0.995525
-138,0.995554
-137,0.995583
-136,0.995612
-135,0.995641
-134,0.99567
-133,0.995699
-132,0.995728
-131,0.995757
-130,0.995786
-129,0.995815
-128,0.995844
-127,0.995873
-126,0.995903
-125,0.995932
-124,0.995961
-123,0.99599
-122,0.996019
-121,0.996048
-120,0.996077
-119,0.996106
-118,0.996135
-117,0.996164
-116,0.996193
-115,0.996222
-114,0.996251
-113,0.99628
-112,0.996309
-111,0.996338
-110,0.996367
-109,0.996396
-108,0.996425
-107,0.996454
-106,0.996483
-105,0.996512
-104,0.996541
-103,0.99657
-102,0.996599
-101,0.996628
-100,0.996657
-99,0.996686
-98,0.996715
-97,0.996744
-96,0.996773
-95,0.996802
-94,0.996831
-93,0.99686
-92,0.99689
-91,0.996919
-90,0.996948
-89,0.996977
-88,0.997006
-87,0.997035
-86,0.997064
-85,0.997093
-84,0.997122
-83,0.997151
-82,0.99718
-81,0.997209
-80,0.997238
-79,0.997267
-78,0.997296
-77,0.997325
-76,0.997354
-75,0.997383
-74,0.997412
-73,0.997441
-72,0.99747
-71,0.997499
-70,0.997529
-69,0.997558
-68,0.997587
-67,0.997616
-66,0.997645
-65,0.997674
-64,0.997703
-63,0.997732
-62,0.997761
-61,0.99779
-60,0.997819
-59,0.997848
-58,0.997877
-57,0.997906
-56,0.997935
-55,0.997964
-54,0.997993
-53,0.998023
-52,0.998052
-51,0.998081
-50,0.99811
-49,0.998139
-48,0.998168
-47,0.998197
-46,0.998226
-45,0.998255
-44,0.998284
-43,0.998313
-42,0.998342
-41,0.998371
-40,0.9984
-39,0.998429
-38,0.998458
-37,0.998488
-36,0.998517
-35,0.998546
-34,0.998575
-33,0.998604
-32,0.998633
-31,0.998662
-30,0.998691
-29,0.99872
-28,0.998749
-27,0.998778
-26,0.998807
-25,0.998836
-24,0.998866
-23,0.998895
-22,0.998924
-21,0.998953
-20,0.998982
-19,0.999011
-18,0.99904
-17,0.999069
-16,0.999098
-15,0.999127
-14,0.999156
-13,0.999185
-12,0.999215
-11,0.999244
-10,0.999273
-9,0.999302
-8,0.999331
-7,0.99936
-6,0.999389
-5,0.999418
-4,0.999447
-3,0.999476
-2,0.999505
-1,0.999534
0,0.999564
1,0.999593
2,0.999622
3,0.999651
4,0.99968
5,0.999709
6,0.999738
7,0.999767
8,0.999796
9,0.999825
10,0.999855
11,0.999884
12,0.999913
13,0.999942
14,0.999971
15,1
16,1.000029
17,1.000058
18,1.000087
19,1.000116
20,1.000146
21,1.000175
22,1.000204
23,1.000233
24,1.000262
25,1.000291
26,1.00032
27,1.000349
28,1.000378
29,1.000407
30,1.000437
31,1.000466
32,1.000495
33,1.000524
34,1.000553
35,1.000582
36,1.000611
37,1.00064
38,1.000669
39,1.000699
40,1.000728
41,1.000757
42,1.000786
43,1.000815
44,1.000844
45,1.000873
46,1.000902
47,1.000931
48,1.000961
49,1.00099
50,1.001019
